County Name,State,county,Poverty Rate,No_HS_Education,Housing_Cost_Burden
"Appling County, Georgia",13,001,0.25411868422502615,0.2039841282694955,0.13002232142857142
"Atkinson County, Georgia",13,003,0.26908118619348564,0.29718951766046336,0.17880794701986755
"Bacon County, Georgia",13,005,0.2445018167909734,0.16068493150684932,0.18129770992366412
"Baker County, Georgia",13,007,0.2506830601092896,0.1388499298737728,0.12098765432098765
"Baldwin County, Georgia",13,009,0.22560418359057677,0.12015870704717531,0.27462786419133633
"Banks County, Georgia",13,011,0.13156142492509154,0.18056551174830746,0.1657250470809793
"Barrow County, Georgia",13,013,0.1045031815956926,0.09974339566910964,0.2043348775645268
"Bartow County, Georgia",13,015,0.1202493615742827,0.11507925492046749,0.19938760806916425
"Ben Hill County, Georgia",13,017,0.2564618205477021,0.13733275787656452,0.11743772241992882
"Berrien County, Georgia",13,019,0.21066145687970975,0.18715128327753866,0.15814850530376084
"Bibb County, Georgia",13,021,0.252453997936978,0.11461849113291843,0.28768113323456074
"Bleckley County, Georgia",13,023,0.1803511260861855,0.11285189718482252,0.22203098106712565
"Brantley County, Georgia",13,025,0.16812093591952426,0.1755498474875582,0.15336571825121442
"Brooks County, Georgia",13,027,0.23109400223519186,0.14384045181786093,0.20271739130434782
"Bryan County, Georgia",13,029,0.08816829381682938,0.06428597697767643,0.18714321171506576
"Bulloch County, Georgia",13,031,0.22512103667734568,0.10445523506903265,0.25562523054223535
"Burke County, Georgia",13,033,0.15350086000755128,0.15401497547121096,0.17058572039333048
"Butts County, Georgia",13,035,0.19111769724729444,0.17383400556723286,0.17721518987341772
"Calhoun County, Georgia",13,037,0.2611183355006502,0.20692905962762195,0.17456896551724138
"Camden County, Georgia",13,039,0.15996616100440292,0.05909770974795719,0.2682694919858734
"Candler County, Georgia",13,043,0.24941353101248007,0.18053073009762133,0.21232057416267944
"Carroll County, Georgia",13,045,0.17279777812712885,0.12952292235012308,0.2430773836252058
"Catoosa County, Georgia",13,047,0.08701308411214953,0.09381717569437055,0.1537544696066746
"Charlton County, Georgia",13,049,0.21324759975336915,0.1762502753910553,0.2402287893231649
"Chatham County, Georgia",13,051,0.14134949683006467,0.07528427526031527,0.23848772621394015
"Chattahoochee County, Georgia",13,053,0.1776893751035969,0.04165762638316338,0.14082191780821918
"Chattooga County, Georgia",13,055,0.21507449605609114,0.26162010847378553,0.1489864864864865
"Cherokee County, Georgia",13,057,0.07037632506115667,0.06392163466936118,0.23303259736138188
"Clarke County, Georgia",13,059,0.2618949748227315,0.08400416187503422,0.31338567286705543
"Clay County, Georgia",13,061,0.25651867512332627,0.1742176553012611,0.069164265129683
"Clayton County, Georgia",13,063,0.16435462218105754,0.11927969331968373,0.24985885958545043
"Clinch County, Georgia",13,065,0.3018471241928217,0.24765437486362646,0.15396113602391628
"Cobb County, Georgia",13,067,0.086059028725857,0.060224342019853244,0.2065852527438553
"Coffee County, Georgia",13,069,0.22227793516684635,0.20184422623447013,0.15125094768764216
"Colquitt County, Georgia",13,071,0.23836015630174184,0.21098217570143463,0.17125435540069686
"Columbia County, Georgia",13,073,0.06866585706637417,0.05896102378308888,0.16213116463351057
"Cook County, Georgia",13,075,0.20523115073507706,0.17660343270099368,0.18700696055684454
"Coweta County, Georgia",13,077,0.08539570490461892,0.07579372361901267,0.16611346970281746
"Crawford County, Georgia",13,079,0.13557058185157358,0.17075438800418458,0.12278876170655567
"Crisp County, Georgia",13,081,0.2623680656295333,0.15410859465737514,0.2715617715617716
"Dade County, Georgia",13,083,0.09839679358717435,0.15414310081694946,0.11592505854800937
"Dawson County, Georgia",13,085,0.09663007895243597,0.08591376645525768,0.14767096134786917
"Decatur County, Georgia",13,087,0.21031689131058215,0.1427086581436441,0.17519181585677748
