County Name,State,county,Poverty Rate,No_HS_Education,Housing_Cost_Burden,norm_Poverty Rate,norm_No_HS_Education,norm_Housing_Cost_Burden,SEV,Resilience_Socio
"Appling County, Georgia",13,1,0.2541186842250261,0.2039841282694955,0.1300223214285714,0.7050466774455535,0.6517059966913892,0.31998762376237627,0.5589134326331063,0.44108656736689367
"Atkinson County, Georgia",13,3,0.2690811861934856,0.2971895176604633,0.1788079470198675,0.7558946838213503,1.0,0.46605468493869245,0.7406497895866809,0.25935021041331907
"Bacon County, Georgia",13,5,0.2445018167909734,0.1606849315068493,0.1812977099236641,0.6723650752888621,0.4899036515796728,0.4735091829793666,0.5452593032826338,0.45474069671736617
"Baker County, Georgia",13,7,0.2506830601092896,0.1388499298737728,0.1209876543209876,0.6933711811074369,0.40830965598856345,0.2929372937293729,0.4648727102751244,0.5351272897248756
"Baldwin County, Georgia",13,9,0.2256041835905767,0.1201587070471753,0.2746278641913363,0.6081440662967295,0.33846347147554867,0.7529452092223773,0.5665175823315518,0.4334824176684482
"Banks County, Georgia",13,11,0.1315614249250915,0.1805655117483074,0.1657250470809793,0.28855267694886616,0.5641942792530391,0.4268837053196847,0.42654355384053,0.57345644615947
"Barrow County, Georgia",13,13,0.1045031815956926,0.099743396,0.2043348775645268,0.19659895609179273,0.2621746381808911,0.542483831440722,0.3337524752378019,0.6662475247621982
"Bartow County, Georgia",13,15,0.1202493615742827,0.1150792549204674,0.1993876080691642,0.25011018447014577,0.319482351098437,0.5276714126744085,0.3657546494143304,0.6342453505856696
"Ben Hill County, Georgia",13,17,0.2564618205477021,0.1373327578765645,0.1174377224199288,0.7130095041790733,0.4026402208618152,0.2823085867305592,0.46598610392381595,0.534013896076184
"Berrien County, Georgia",13,19,0.2106614568797097,0.1871512832775386,0.1581485053037608,0.5573632634157937,0.588804280303194,0.4041990891471018,0.5167888776220299,0.48321112237797015
"Bibb County, Georgia",13,21,0.252453998,0.1146184911329184,0.2876811332345607,0.6993894701173767,0.31776054868772113,0.7920274721795165,0.6030591636615381,0.3969408363384619
"Bleckley County, Georgia",13,23,0.1803511260861855,0.1128518971848225,0.2220309810671256,0.45435777030438274,0.31115906263177945,0.5954670165811762,0.4536612831724461,0.546338716827554
"Brantley County, Georgia",13,25,0.1681209359195242,0.1755498474875582,0.1533657182512144,0.4127951500365621,0.5454515241822948,0.3898791405858143,0.4493752716015571,0.5506247283984429
"Brooks County, Georgia",13,27,0.2310940022351918,0.1438404518178609,0.2027173913043478,0.6268004603965791,0.42695845814328476,0.5376409814894534,0.5304666333431057,0.46953336665689427
"Bryan County, Georgia",13,29,0.088168294,0.064285977,0.1871432117150657,0.1410870857933243,0.12967579351968794,0.4910109626003553,0.2539246139711225,0.7460753860288776
"Bulloch County, Georgia",13,31,0.2251210366773456,0.1044552350690326,0.2556252305422353,0.6065021579196272,0.27978204589650457,0.6960501952076432,0.5274447996745917,0.4725552003254083
"Burke County, Georgia",13,33,0.1535008600075512,0.1540149754712109,0.1705857203933304,0.36311083154800283,0.4649790661589714,0.44143684996973387,0.4231755825589027,0.5768244174410972
